id,glosa
197,11 funciones del cargo el trabajador se obliga a ejecutar las funciones propias de su cargo y la naturaleza de este siendo estas las que se enuncian a continuacion sin que estas se estipulen de manera taxativa atender clientes de manera cordial aplicando los protocolos implementados por la co
198,cuidador
199,el maestro de infraestructura categoría a ejecuta los trabajos diarios encargados por su supervisor de turno tanto preventivos como correctivos para mantener en óptimo estado y condiciones operativas las diversas instalaciones sistemas y equipos de infraestructura del centro de justicia de santi
200,actuar en representación de la empresa como agente yo representante de ventasde los productos y servicios que se le encomiende comercializar estando obligado avisitar y atender a los clientes que el empleador le indique y a captar nuevos clientesrealizar la labor de mantención de clientes
201,administrativo
202,este cargo es responsable de observar y recopilar datos biológicopesqueros tanto en caletas y puntos de desembarque en tierra como abordo de embarcaciones pesqueras además este cargo puede realizar labores de instrucción dentro de su marco de especialización a otros observadores científicos
203,ser el soporte del owner tomando decisiones operativas y técnicas diariamente a fin de controlar asegurar yverificar la correcta ejecución de todos aquellos servicios prestados por las empresas colaboradoras en áreas dealimentación aseo servicios transversales entre otros tanto en el ámbito
204,realizar trabajos que le competen a la institución y que le encomienden las autoridades del banco y los jefes directos a que se encuentre subordinado
205,desarrollo y diseño del menú entre otros
206,apoyo encarpado
207,maestro 1ra
208,apoyar  en  todas  las  acciones  de  mantención que le encomiende el jefe del taller o la gerencia de la empresa que tengan relación con las máquinas y equipos del empleadoracatar las instrucciones del jefe del taller en toda actividad técnica que realice
209,auxiliar aserradero villa mañihuales
210,mantener el aseo y orden la dependencia del establecimiento educacional cuidar y responsabilizase del uso conservación y custodia de las herramientas que se le hubieren asignado
211,mecánico
212,las partes acuerdan establecer como funciones y obligaciones esenciales a su cargo lassiguientes ejecutar las tareas necesarias para realizar la construcción del proyecto según planoy especificaciones técnicas ejecutar las tareas necesarias para realizar la construcción del proyecto velando
213,responsable de entregar el soporte y apoyo necesarios al supervisor de operaciones facilitando los procesos de recupero de activos respecto de la seguridad integral
214,operator process
215,mantención y limpieza de parcelas plantación pintura otras labores manuales relacionadas replantes ortopedias raleo de carozos y selección de fruta
216,las funciones corresponden a todas las tareas propias e inherentes del cargo entendiéndose por tales todas las que según la práctica naturaleza o descripción respectiva le corresponden al cargo de maestro mayor mina
217,mucama
218,labores administrativas
219,area escrituras publicas para la redaccion revision recepcion y tramitacion de escrituras publicas y privadas autorizacion de finiquitos e instrumentos para diligencias notariales
220,tecnico mecanico en montaje y reparade ascensores
221,inherentes al cargo
222,operador redes energizadas
223,bodeguero de faena
224,administrador
225,prevencionista de riesgo
226,vendedora
227,op grua 1 fruta comercial
228,operador de cargador frontal
229,op de perecibles
230,ejecución de los trabajos de mantención en terreno área planta en base a un programa de mantención planificado considerando los aspectos de salud seguridad medio ambiente en todas sus labores y velando por el estado mantención repuestos inspecciones del o los equipos asignados
231,control de ingreso y rondas dentro de la instalación
232,operar y mantener parámetros operacionales en área de aglomerado
233,mantener el funcionamiento estándar y stock adecuado de la sección de abarrotes mediante una correcta organización y administración del personal y del presupuesto asignado para alcanzar las metas
234,administrativo
235,encargada limpieza local
236,jefe operaciones planta subsole hijuelas
237,encargado de la atención de público cliente venta directa del local ingreso de venta control de inventario arqueo de caja facturación conocer el valor del dólar y limpiar los camacheros
238,el cargo comprende atención en conserjería atención a los residentes recepción de correspondencia atención telefónica conocimiento de todo el equipamiento técnico del edificio situaciones de emergencia en ascensores u otros equipos y otras tareas relacionadas con las funciones
239,jefe de bodega y analista de inventario
240,trabajadora social
241,abastecimiento de materiales a packing orden y estiba de materiales armado de cajas y materiales de embalaje aseo y orden de bodega control de materiales a packing  apoyo a la unidad
242,1encargado de alimentación2sanidad y reproducción de crianza3labores agrícolas en general
243,desarrollo de aplicaciones en proyectos específicos documentación de productos de software desarrollados y apoyo en la generación de documentos que forman parte del proceso de desarrolloentre otras funciones establecidas en su contrato de trabajo
244,dar cumplimiento a las oc en calidad y plazosupervisar que los proceso cumplan la fechacumplir la meta de gestion propuesta por gerenciacotizar de forma oportuna realizar la compra segun los costos asociados a las ocmantener actualiza la base de proveedores y precios
245,lider de turno
246,ejecución de trabajos hidráulicos o comerciales en terreno o cualquier otra necesidad derivada que especifique el mandanteejecución correcta de trabajos mediante especificaciones entregadas por instrucción de coordinador o mandanterespaldo de sus trabajos y de materiales utilizados mediante
247,auxiliar en las labores de bodega funciones de picking yo packing ruteodespacho recepciónalmacenamiento                                     cargador yo peoneta control de calidad devolucionesauditorinventarioaseador
248,realizar las transacciones correspondientes a los diferentes negocios que se canalizan a través de cajas de tienda de acuerdo a los procedimientos respectivos y preparar el producto para ser entregado al cliente sea empaquetando envolviendo u otro medio similar debe contar con conocimientos técn
249,supervisor obras de densificacion
250,volante
251,docente de sala
252,ayudante de cocina
